   0.00000000       1.00000000    
  0.125000000      0.937500000    
  0.250000000      0.886718750    
  0.375000000      0.846923828    
  0.500000000      0.817428589    
  0.625000000      0.797589302    
  0.750000000      0.786802471    
  0.875000000      0.784502327    
   1.00000000      0.790158451    
   1.12500000      0.803273559    
   1.25000000      0.823381484    
   1.37500000      0.850045145    
   1.50000000      0.882854819    
   1.62500000      0.921426415    
   1.75000000      0.965399742    
   1.87500000       1.01443720    
   2.00000000       1.06822240    
   2.12500000       1.12645853    
   2.25000000       1.18886733    
   2.37500000       1.25518811    
   2.50000000       1.32517636    
   2.62500000       1.39860284    
   2.75000000       1.47525263    
   2.87500000       1.55492437    
   3.00000000       1.63742912    
